nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
64,7,22641,2000,127,0,shot-only,0,0.99658,1.02945,1.00151,0.00328571,0.0195,0.000672104,0.000666423,ns64_slope2.0_sc0.4
64,9,22641,2000,127,0,shot-only,0,1.00603,1.03677,1.01011,0.00361111,0.0295,0.000751588,0.00074045,ns64_slope2.0_sc0.4
64,11,22641,2000,127,0,shot-only,0,1.00598,1.04694,1.00505,0.00209091,0.0215,0.00097141,0.000967402,ns64_slope2.0_sc0.4
64,3,22641,2000,127,0.4,clustered,2,12.6585,13.5111,12.9437,0.7975,0.9925,0.0429534,0.00336445,ns64_slope2.0_sc0.4
64,5,22641,2000,127,0.4,clustered,2,9.65177,13.3738,11.0879,0.7367,0.9995,0.0281739,0.00301519,ns64_slope2.0_sc0.4
64,7,22641,2000,127,0.4,clustered,2,9.59263,13.1099,10.7488,0.711286,1,0.028063,0.00312331,ns64_slope2.0_sc0.4
64,9,22641,2000,127,0.4,clustered,2,5.68556,12.9423,9.79562,0.596444,1,0.0257303,0.00346485,ns64_slope2.0_sc0.4
64,11,22641,2000,127,0.4,clustered,2,5.52266,13.1714,8.75622,0.486682,0.9995,0.0177172,0.00452159,ns64_slope2.0_sc0.4
64,3,22641,2000,127,0,shot-only,0,1.00032,1.00959,0.999344,0.003,0.0085,0.000703208,0.000714866,ns64_slope2.5_sc0.2
64,5,22641,2000,127,0,shot-only,0,0.988908,0.990352,0.989355,0.0026,0.0125,0.000631479,0.000642759,ns64_slope2.5_sc0.2
64,7,22641,2000,127,0,shot-only,0,1.01069,1.01648,1.00383,0.003,0.018,0.000675447,0.000666319,ns64_slope2.5_sc0.2
64,9,22641,2000,127,0,shot-only,0,1.01223,1.03638,1.00776,0.00333333,0.0275,0.000746883,0.000740508,ns64_slope2.5_sc0.2
64,11,22641,2000,127,0,shot-only,0,0.998013,1.01361,0.996603,0.00222727,0.023,0.000966491,0.000967369,ns64_slope2.5_sc0.2
64,3,22641,2000,127,0.2,clustered,2.5,17.2947,18.4476,17.5612,0.853,0.9985,0.0299678,0.00171806,ns64_slope2.5_sc0.2
64,5,22641,2000,127,0.2,clustered,2.5,13.5242,19.0041,15.5979,0.8109,0.9995,0.0201193,0.00153666,ns64_slope2.5_sc0.2
64,7,22641,2000,127,0.2,clustered,2.5,13.2802,19.5254,15.0579,0.787643,1,0.0196485,0.00157958,ns64_slope2.5_sc0.2
64,9,22641,2000,127,0.2,clustered,2.5,7.75331,19.3275,13.5496,0.662111,1,0.01771,0.00174882,ns64_slope2.5_sc0.2
64,11,22641,2000,127,0.2,clustered,2.5,7.76705,19.6027,12.2973,0.550409,1,0.0128061,0.00229242,ns64_slope2.5_sc0.2
64,3,22641,2000,127,0,shot-only,0,1.01157,1.0283,1.01696,0.00516667,0.0145,0.000723144,0.000714874,ns64_slope2.5_sc0.4
64,5,22641,2000,127,0,shot-only,0,0.996533,1.04476,1.00255,0.0034,0.016,0.000639305,0.000642726,ns64_slope2.5_sc0.4
64,7,22641,2000,127,0,shot-only,0,1.01183,1.03269,1.01328,0.00414286,0.026,0.000680796,0.00066634,ns64_slope2.5_sc0.4
64,9,22641,2000,127,0,shot-only,0,1.00624,1.04695,1.00488,0.002,0.0165,0.000775398,0.000740625,ns64_slope2.5_sc0.4
64,11,22641,2000,127,0,shot-only,0,0.996606,1.01395,1.00088,0.00222727,0.023,0.000948512,0.000967299,ns64_slope2.5_sc0.4
64,3,22641,2000,127,0.4,clustered,2.5,18.8073,19.3903,18.7278,0.862,0.9965,0.0618266,0.00325947,ns64_slope2.5_sc0.4
64,5,22641,2000,127,0.4,clustered,2.5,14.3895,19.6907,16.2395,0.8219,1,0.0408276,0.00293079,ns64_slope2.5_sc0.4
64,7,22641,2000,127,0.4,clustered,2.5,14.4243,19.9949,15.8777,0.789286,1,0.0409087,0.00302789,ns64_slope2.5_sc0.4
64,9,22641,2000,127,0.4,clustered,2.5,8.35443,19.8456,14.2034,0.678444,1,0.0364879,0.00334384,ns64_slope2.5_sc0.4
